ID DATE,DATE
1,1960
2,1961
3,1962
4,1963
5,1964
6,1965
7,1966
8,1967
9,1968
10,1969
11,1970
12,1971
13,1972
14,1973
15,1974
16,1975
17,1976
18,1977
19,1978
20,1979
21,1980
22,1981
23,1982
24,1983
25,1984
26,1985
27,1986
28,1987
29,1988
30,1989
31,1990
32,1991
33,1992
34,1993
35,1994
36,1995
37,1996
38,1997
39,1998
40,1999
41,2000
42,2001
43,2002
44,2003
45,2004
46,2005
47,2006
48,2007
49,2008
50,2009
51,2010
52,2011
53,2012
54,2013
55,2014
56,2015
57,2016
58,2017
59,2018
60,2019
61,2020
62,2021
63,2022
64,2023
65,2024
66,2025
67,2026
68,2027
69,2028
70,2029
71,2030
72,2031
73,2032
74,2033
75,2034
76,2035
77,2036
78,2037
79,2038
80,2039
81,2040
82,2041
83,2042
84,2043
85,2044
86,2045
87,2046
88,2047
89,2048
90,2049
91,2050
